First_name,Gender
yugunnat,m
devendra,m
kalash,m
kamana,f
dip,m
anjana,f
dakshyata,f
neeka,f
shreedhar,m
nageshwar,m
akshaj,m
krishnika,f
sirjana,f
bhoomika,f
rajin,m
sujina,f
savyata,f
rojesh,m
sunishrestha,f
aryan,m
aashi,f
kishan,m
anita,f
jharna,f
hardik,m
shreeshrestha,f
rosha,f
tulsa,f
drisana,f
subrat,m
awonchit,m
krisna,f
shreyak,m
swikrit,m
abhay,m
sameep,m
alishna,f
gagan,m
grishmika,f
samar,m
parashar,m
hemant,m
sanyog,m
digantaraj,m
nrip,m
devnayak,m
manesh,m
swosjoshi,f
suhana,f
prajisha,f
prawesh,m
krrisha,f
shriharsh,m
revant,m
samigya,m
sadit,m
smrithapa,f
evan,m
prashansa,f
sayara,f
nabina,f
sashik,m
anzeelina,f
sachit,m
aatma,f
anunaya,m
karan,m
anunayan,m
anshrisharma,f
pramisha,f
kreetee,f
abiral,m
sewak,m
bijeta,f
marnav,m
puskar,m
sahara,f
rubana,f
yunik,m
sweta,f
swaska,f
pranay,m
awaj,m
asha,f
prarthana,f
saarika,f
bipas,m
sarika,f
sunidhi,f
manika,f
erika,f
antara,f
sushila,f
bigyan,m
kushmakar,m
loyash,m
sujjal,m
riyaj,m
parista,f
rubina,f
saphal,m
kebal,m
reshma,f
sheetal,m
ankush,m
sunaina,f
pradika,f
satvik,m
bipana,f
abhijan,m
bhim,m
abhijeet,m
parikchit,m
aashesh,m
poshak,m
prak,m
keepa,f
loresh,m
sudeep,m
deekshya,f
abhiyan,m
munu,f
niyonika,f
alisha,f
mahesh,m
sanik,m
sabita,f
enjal,m
modhnath,m
inam,m
sabinaya,m
sonam,m
rojit,m
ashika,f
aashma,f
ujwal,m
reeshav,m
aryama,f
dipson,m
kala,f
bibash,m
rajnish,m
elish,m
pradikshya,f
utkrista,f
prashantraj,m
nigam,m
shashi,f
kriskoju,f
pritam,m
ocean,m
deepesh,m
rohini,f
samyak,m
bigya,m
sudin,m
prachi,f
lenin,m
bikranshu,m
mihar,m
tilasmi,f
rochak,m
rubi,f
amshu,m
sangyan,m
reason,m
madhab,m
madhusudhan,m
jan,m
praliza,f
aakansha,f
drishya,f
juna,f
bimosh,m
pandit,m
raksha,f
satyam,m
deep,m
rajisha,f
praful,m
prasiddha,f
krijan,m
alka,f
subikhyat,m
swoham,m
prashish,m
sajish,m
binayek,m
suvesh,m
nishchita,f
souvik,m
sarita,f
kimesh,m
bidhi,f
sarthak,m
srijeet,m
dixit,m
namrata,f
prajina,f
subani,f
himesh,m
sunita,f
lunza,f
ayushka,f
ghanshyam,m
ananta,f
eshana,f
arman,m
gita,f
sahitya,m
shasanka,f
irfan,m
siwansh,m
shaska,f
palpasa,f
reema,f
sarbesh,m
shasank,m
sajeena,f
shrumaharjan,m
anisa,f
sharamsh,m
ujashna,f
yuraj,m
subekshya,f
renish,m
ikshya,f
deepika,f
preyas,m
prasoon,m
sujit,m
sanjeebani,f
shovan,m
krishal,m
biral,m
arjabi,f
atul,m
ramakant,m
dhanesh,m
saran,m
sitanandan,m
alpika,f
suchana,f
kripesh,m
ritika,f
dikesh,m
sulochana,f
tirtha,f
kriman,m
parkash,m
eshan,m
kheman,m
kamlesh,m
sapath,m
barshika,f
aaviskar,m
jeniv,m
utsab,m
prisha,f
prish,m
nandini,f
daman,m
swikriti,f
pranzal,m
damodar,m
grish,m
jeevan,m
bishwash,m
rison,m
selina,f
riju,f
aesrela,f
aarju,f
jay,m
krika,f
abhisek,m
bishan,m
lilamani,f
didhimaharjan,m
tekraj,m
khemchandra,m
pratham,m
akanshya,f
dhirendra,m
basanta,f
pitambar,m
pranushka,f
nerish,m
rachana,f
dewesh,m
abishika,f
prajila,f
harsh,m
supooja,f
devraj,m
samit,m
samiksha,f
abisha,f
dwiya,f
tejash,m
ronisha,f
agrima,f
swasteek,m
samuna,f
dipsana,f
satya,m
raju,f
prayash,m
kritagya,m
yukesh,m
sawar,m
salina,f
rhikiranjan,m
reyansh,m
lawan,m
shikshya,f
charchit,m
shisham,m
uam,m
nishal,m
kritesh,m
dolma,f
reyasa,f
sajin,m
prashila,f
atal,m
aaswi,f
nishrit,m
chandrashekhar,m
aatmiyata,f
prashna,f
abhipsa,f
dumajal,m
manik,m
hemraj,m
bhuban,m
prasuna,f
sangita,f
preza,f
ojash,m
ashwin,m
subhadra,m
saraswaupadhyay,m
ranish,m
dheeraj,m
rivana,f
rujal,m
abhinash,m
saugan,m
binita,f
resima,f
arjan,m
arogya,m
prastha,f
kritana,f
rima,f
chitra,m
deepak,m
sanjog,m
yash,m
durgesh,m
rebika,f
shital,m
parakram,m
tuluram,m
miyusha,f
sanjiban,m
tatsam,m
kunal,m
anjan,m
kabit,m
barosh,m
prat,m
nayan,m
aswin,m
srijan,m
pravash,m
jhalak,m
prashiddhi,f
prash,m
unnasilwal,m
aadiv,m
khal,m
aaryaka,f
yozeet,m
sediya,f
suhan,m
joshan,m
nalisha,f
sangam,m
jabin,m
sarisma,f
bibhas,m
nirusha,f
inesh,m
sourav,m
ajendra,m
sahas,m
bhagwalamsal,m
krit,m
priyanjali,f
sushan,m
subin,m
jyochapagain,m
shrismallik,m
harina,f
yojika,f
slesha,f
bighyan,m
alon,m
sijar,m
dibas,m
prama,f
bhumi,f
khagendra,m
himangat,m
aayuska,f
radha,f
mamta,f
pravin,m
nirbhik,m
anshul,m
aditee,f
niroj,m
rakshyak,m
adwait,m
aarushi,f
prasanta,f
grisha,f
suyogya,m
sobhit,m
akit,m
bishwaprak,m
roshmi,f
nitya,m
devnandan,m
shrijika,f
pushpa,f
nikita,f
rabi,f
viraj,m
dibash,m
adip,m
diya,f
sajana,f
jonash,m
nidhi,f
samana,f
mission,m
yugal,m
shubrat,m
oshan,m
abishma,f
loveson,m
labish,m
nish,m
abhideep,m
nirab,m
prapty,f
brisha,f
dinkar,m
anjal,m
asmi,f
rojal,m
digambar,m
rizma,f
bibesh,m
anshika,f
sindhuja,f
ramesh,m
rinju,f
nischita,f
prachin,m
siddhika,f
jeewan,m
ambika,f
sajala,f
krishika,f
siddhi,f
aakrihamal,m
kundan,m
pragik,m
kopila,f
bibhusan,m
harka,f
shusila,f
alwin,m
darsan,m
karishma,f
pradeshika,f
anushka,f
pradipta,f
adiranjitkar,m
sumiran,m
subigya,m
abhishu,m
swoyam,m
harish,m
pranusha,f
hrishita,f
samak,m
shounak,m
aisha,f
sadeep,m
risham,m
nandishi,f
shiwant,m
arekh,m
mison,m
bhabish,m
kamal,m
shrista,f
roshila,f
shreesh,m
aagav,m
kunjal,m
salon,m
yakendra,m
kabin,m
sakal,m
romiyan,m
yolisa,f
krigya,m
niruta,f
gaurishankar,m
suvanjan,m
ishika,f
aayog,m
prashamsha,f
jagat,m
nasala,f
ronit,m
satrishna,f
shailaj,m
sashwat,m
pramish,m
mahima,f
sujin,m
lochan,m
jina,f
deepgautam,m
robhana,f
matrika,f
bijan,m
shruthapa,f
monalisa,f
sukrish,m
swikritimilsina,f
antariksha,f
subarna,f
briksha,f
ash,m
suyana,f
husan,m
unnat,m
swarnima,f
amrit,m
koshish,m
gokul,m
jitendra,m
swoska,f
shashin,m
rebant,m
astha,f
pabina,f
adikhadka,f
avigya,m
binish,m
indira,f
rijesh,m
utkarsh,m
arpit,m
harsha,f
suijal,m
shibam,m
srishgupta,f
praphabi,f
dipam,m
subina,f
yadav,m
chuddant,m
gyanbi,f
saramsha,f
olsan,m
anukrithapa,f
popular,m
lumesh,m
milesh,m
ojaswee,f
subana,f
bharosa,f
unnasangraula,f
unik,m
tara,f
ujjwal,m
sujana,f
sundar,m
summit,m
angaj,m
sushantdeep,m
chuman,m
benjan,m
babin,m
sarwagya,m
simana,f
sushanta,f
supreet,m
smerrydica,f
arushi,f
vinay,m
kritam,m
shreekrishna,f
ojas,m
gehendra,m
gyanu,f
kevin,m
sarshan,m
saubhagya,m
bishwajit,m
bardan,m
chandani,f
ramsundar,m
tilak,m
pravidhi,f
anik,m
nirvik,m
sudan,m
surangana,f
auraj,m
zinas,m
rika,f
purushoam,m
akanksha,f
poojan,m
sovit,m
manmohan,m
aasuka,f
nin,m
sarada,f
biplav,m
bhumika,f
sadish,m
tejindra,m
suvigya,m
upasana,f
vivan,m
bikrant,m
amisha,f
sahima,f
sarishma,f
musnit,m
lajjita,f
kelvin,m
shreeyut,m
md,m
prava,f
drishpoudel,f
binbhandari,f
sajid,m
kapur,m
sun,f
kshiz,m
david,m
ashirwad,m
aamod,m
samprad,m
owen,m
apechhya,f
riwaz,m
bishaarad,m
bodh,m
arohi,f
gayatri,f
ahamad,m
kribhandari,f
lakki,m
utsuk,m
umanga,m
radium,m
shashwot,m
kumud,m
anirudh,m
saru,f
amir,m
shrubhaarai,f
saujanya,f
supreme,m
shisir,m
rhythm,m
kasees,m
prarambha,m
manasvi,f
rakhi,f
sadhvi,f
nikunj,m
pratap,m
shrukumari,f
smriadhikari,f
aakriadhikari,f
abhaya,m
galij,m
akrigurung,f
